id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	51.64799999998877	54.16440963745117	74	110	0.0	
{Bungay2006}_{Bungay2006}	36.454500000008125	39.160847663879395	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	17.4174999999874	19.507646560668945	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	576.0945000000006	576.7854452133179	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	106.72800000000007	176.926851272583	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	11.358999999999853	11.926531791687012	45	166	0.0	
{Hui2014}_{Hui2014}	2.953000000000017	3.3701658248901367	65	113	0.0	
{Lai2014}_{Lai2014}	14.345500000000186	14.92762565612793	195	27	0.0	
{Leber2015}_{Leber2015}	16.52049999999994	16.776084899902344	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	16.74550000001372	20.080924034118652	86	300	0.0	
{Liu2011}_{Liu2011}	45.92299999998818	47.85358905792236	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	115.07999897003174	49	141	-10.0	
{ODea2007}_{ODea2007}	2.9360000000000355	3.5369396209716797	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	15.711000000000126	16.490697860717773	90	20	0.0	
{Pathak2013}_{Pathak2013}	4.125999999999923	5.222201347351074	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	3.665500000000023	4.773259162902832	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	17.798999999999978	18.20540428161621	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	0.0	1642.2183513641357	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	186.833000000001	187.41774559020996	75	131	0.0	
{Qi2013a}_{Qi2013a}	0.0	1596.8377590179443	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	50.35549999999955	51.271677017211914	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	12.406999999999982	14.09757137298584	240	272	0.0	
{Singh2006}_{Singh2006}	3814.4674999999843	3812.697410583496	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	5.480999999999959	5.760312080383301	50	56	0.0	
{Ueda2001}_{Ueda2001}	2.8005000000000067	3.071308135986328	13	66	0.0	
{Ung2008}_{Ung2008}	273.84599999999955	275.648832321167	194	313	0.0	
{Yang2007}_{Yang2007}	113.15800000000006	113.54291439056396	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	4.926999999997399	6.176590919494629	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	1.6394999999993551	2.698183059692383	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1.740500000000569	2.802729606628418	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	1.4404999999992079	2.4857521057128906	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	1.4674999999986582	2.518773078918457	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	3.039499999999922	4.139423370361328	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	1.4774999999992096	2.529621124267578	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	3.0479999999999166	4.156947135925293	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	1.4144999999990517	2.433180809020996	4	8	0.0	
{bachmann2011}_{bachmann}	7.380999999998613	8.875727653503418	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	7.8564999999991265	9.410262107849121	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	2.1855000000001166	3.268122673034668	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.2999999999993728	2.3316144943237305	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	1.4789999999995658	2.528548240661621	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.358999999999817	2.4077892303466797	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	347.40349999978116	349.3480682373047	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	5.8544999999973015	6.968498229980469	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	6.372500000000684	8.424997329711914	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	26.963000000000168	28.164148330688477	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	20.381500000002404	21.80647850036621	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.5915000000000123	2.684473991394043	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	4.745000000000168	6.103754043579102	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	28.96299999999797	31.430721282958984	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	17.446000000000385	19.498109817504883	54	75	0.0	
