id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	295.02299999999696	297.69134521484375	74	110	0.0	
{Bungay2006}_{Bungay2006}	178.77749999999378	181.49173259735107	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	103.98399999999967	106.08744621276855	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	151.24905109405518	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	3091.2176370620728	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	39.521499999999946	40.103793144226074	45	166	0.0	
{Hui2014}_{Hui2014}	44.23000000000036	44.638991355895996	65	113	0.0	
{Lai2014}_{Lai2014}	47.45200000000017	48.03895950317383	195	27	0.0	
{Leber2015}_{Leber2015}	0.0	36.73827648162842	23	51	-1.0	
{Levchenko2000a}_{Levchenko2000a}	22.73249999999892	26.087403297424316	86	300	0.0	
{Liu2011}_{Liu2011}	627.4654999999962	629.8040151596069	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	2707.2864999998465	2710.8434438705444	49	141	0.0	
{ODea2007}_{ODea2007}	7.110500000000002	7.387876510620117	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	188.99150000000327	189.33284282684326	90	20	0.0	
{Pathak2013}_{Pathak2013}	11.289499999999961	11.818408966064453	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	8.453499999999934	8.966684341430664	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	167.5285000000008	167.94681549072266	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	0.0	230.65948486328125	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	88.5012149810791	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	216.46463871002197	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	195.07950000000187	195.98281383514404	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	64.67200000000014	66.34306907653809	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	98.5339879989624	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	22.29400000000002	22.631168365478516	50	56	0.0	
{Ueda2001}_{Ueda2001}	5.492499999999978	5.772113800048828	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	269.8543071746826	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	55.489540100097656	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	10.14699999999776	11.418581008911133	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	4.740999999998941	5.850315093994141	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	5.272499999997152	6.390690803527832	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	3.9320000000005706	4.9915313720703125	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	3.9945000000011035	5.066156387329102	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	4.1105000000000445	5.180716514587402	5	7	0.0	
