id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	11.315500000006772	13.797879219055176	74	110	0.0	
{Bungay2006}_{Bungay2006}	13.150500000001102	15.689373016357422	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	22.882000000003792	25.041818618774414	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	7.6959999999999695	8.188128471374512	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	103.28300000000013	175.76277256011963	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	1.0980000000000345	1.6493797302246094	45	166	0.0	
{Hui2014}_{Hui2014}	2.7365000000000084	3.159165382385254	65	113	0.0	
{Lai2014}_{Lai2014}	4.375999999999678	4.955649375915527	195	27	0.0	
{Leber2015}_{Leber2015}	3.1950000000000642	3.436565399169922	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	10.266999999991441	13.590216636657715	86	300	0.0	
{Liu2011}_{Liu2011}	7.07849999999611	8.947610855102539	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	2.1674633026123047	49	141	-4.0	
{ODea2007}_{ODea2007}	0.6949999999999896	1.0966062545776367	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	4.1549999999999585	4.41288948059082	90	20	0.0	
{Pathak2013}_{Pathak2013}	0.9350000000000129	1.4394521713256836	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	0.999500000000002	1.506209373474121	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	1.497000000000006	1.8256902694702148	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	30.74650000000051	31.356215476989746	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	19.013499999999937	19.5540189743042	75	131	0.0	
{Qi2013a}_{Qi2013a}	30.919999999999902	31.52787685394287	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	8.776500000000027	9.586095809936523	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	11.969000000000033	13.652324676513672	240	272	0.0	
{Singh2006}_{Singh2006}	17.184000000000015	17.65894889831543	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	1.7680000000000025	2.0700693130493164	50	56	0.0	
{Ueda2001}_{Ueda2001}	1.0194999999999972	1.2992620468139648	13	66	0.0	
{Ung2008}_{Ung2008}	19.890499999999804	21.53337001800537	194	313	0.0	
{Yang2007}_{Yang2007}	3.3849999999999483	3.6464929580688477	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	2.6324999999996592	3.8906335830688477	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	1.6215000000009177	2.7805566787719727	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1.675500000000115	2.8486251831054688	5	13	0.0	
