id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	103.83700000000454	106.66203498840332	74	110	0.0	
{Bungay2006}_{Bungay2006}	66.07200000000168	68.86053085327148	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	37.64199999999788	39.81673717498779	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	1253.3564999999871	1254.2200088500977	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	390.7344999999998	462.63158321380615	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	23.715500000000077	24.368762969970703	45	166	0.0	
{Hui2014}_{Hui2014}	5.101499999999966	5.532622337341309	65	113	0.0	
{Lai2014}_{Lai2014}	57.66549999999984	58.312177658081055	195	27	0.0	
{Leber2015}_{Leber2015}	28.05199999999998	28.301000595092773	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	48.49550000002017	52.1012544631958	86	300	0.0	
{Liu2011}_{Liu2011}	100.2460000000043	102.40769386291504	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	183.01618099212646	49	141	-1.0	
{ODea2007}_{ODea2007}	5.747999999999978	6.456136703491211	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	25.010500000000093	25.734663009643555	90	20	0.0	
{Pathak2013}_{Pathak2013}	5.692500000000052	6.832361221313477	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	4.639499999999996	5.917668342590332	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	30.567499999999598	31.511664390563965	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	0.0	1274.8092412948608	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	410.9220000000032	411.6933345794678	75	131	0.0	
{Qi2013a}_{Qi2013a}	0.0	1277.6483297348022	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	86.47599999999966	87.4561071395874	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	23.368499999999955	25.148749351501465	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	392.91656017303467	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	11.572999999999965	11.890769004821777	50	56	0.0	
{Ueda2001}_{Ueda2001}	4.983499999999957	5.2710771560668945	13	66	0.0	
{Ung2008}_{Ung2008}	530.2195000000006	532.1438312530518	194	313	0.0	
{Yang2007}_{Yang2007}	414.4835000000003	414.9801731109619	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	5.7089999999925	7.024884223937988	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	2.0020000000001508	3.1249523162841797	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	2.1654999999998954	3.327012062072754	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	1.9200000000005453	3.051638603210449	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	1.9205000000001946	3.0548572540283203	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	2.494500000001544	3.672003746032715	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	1.9335000000001732	3.081202507019043	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	2.421000000000454	3.5920143127441406	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	1.8174999999995631	2.9228925704956055	4	8	0.0	
{bachmann2011}_{bachmann}	11.56449999999829	13.180971145629883	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	10.990500000000708	12.60519027709961	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	4.983500000000085	6.151795387268066	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.1564999999995837	2.2112131118774414	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	1.5904999999994716	2.683401107788086	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.3649999999988545	2.4576187133789062	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	834.231499999966	836.3969326019287	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	9.53649999999947	10.75291633605957	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	27.84649999998993	30.002355575561523	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	53.74149999999974	55.00650405883789	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	36.7859999999979	38.27166557312012	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.658000000000369	2.8312206268310547	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	5.928999999996883	7.29680061340332	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	64.45149999998307	67.01779365539551	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	38.55249999999711	40.71390628814697	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	68.27350000001312	70.92118263244629	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	13.819999999995076	15.566468238830566	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	1.5319999999992264	2.640843391418457	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	146.6345000000531	152.79030799865723	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	146.13250000003495	152.33707427978516	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	6.059999999995682	7.454156875610352	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	12.51849999999667	13.989806175231934	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	3.3874999999961517	4.78816032409668	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	5.426499999996363	6.9141387939453125	7	16	0.0	
{essunger1994_fig5}_{model0_essunger3}	3.2635000000001106	4.5212507247924805	7	17	0.0	
{essunger1994_fig6-user}_{model2_essunger3}	5.094499999997254	6.302833557128906	7	17	0.0	
{essunger1994_fig8}_{model0_essunger6}	4.3569999999981395	5.617499351501465	7	17	0.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	2.888499999998743	4.393815994262695	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	3.4350000000003327	4.843354225158691	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	3.664500000001972	4.805564880371094	6	8	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	3.7465000000003528	4.882216453552246	6	8	0.0	
{fuentes2005_fig1a-user}_{model0_fuentes1}	1.2715000000007297	2.3496150970458984	4	4	0.0	
{fung2005_fig3a}_{fung1_Fig3A_Vgly_0_5}	13.355999999999995	14.655351638793945	8	21	0.0	
{gardner1998_fig4b-user}_{gardner1_Fig4B}	4.415999999998625	5.605101585388184	5	21	0.0	
{goldbeter1991_fig3-user}_{model0_goldbeter2}	7.424999999998651	8.604764938354492	3	14	0.0	
{goldbeter2006_fig3a-user}_{model0_goldbeter6}	4.785000000000325	5.999088287353516	3	11	0.0	
{gorlich2003_fig4-user}_{model0_gorlich1}	4.00549999999577	5.247592926025391	13	16	0.0	
{hald2012_fig5-user}_{model0_hald}	246.95250000001988	249.1302490234375	31	89	0.0	
{hald2012_fig5-user}_{model1_hald}	249.5299999999943	251.68299674987793	31	89	0.0	
{hatakeyama2003_fig5-user}_{hatakeyama1_Fig5G}	258.16250000000196	260.42139530181885	36	68	0.0	
{hernandezvargas2013}_{model0_esteban2013}	4.1649999999988765	5.366325378417969	5	15	0.0	
{ho1995_fig3}_{model1_ho1}	1.116500000000289	2.175450325012207	1	1	0.0	
{hockin1999_fig7a-user}_{model0_hockin2}	6.891999999997353	8.405923843383789	30	9	0.0	
{hockin2002_fig3-user}_{model0_hockin1}	9.603499999998808	11.353135108947754	34	42	0.0	
{hockin2002_fig3-user}_{model1_hockin1}	9.644000000000055	11.322975158691406	34	42	0.0	
{hockin2002_fig3-user}_{model2_hockin1}	9.630499999997255	11.331319808959961	34	42	0.0	
{hockin2002_fig3-user}_{model3_hockin1}	9.792499999993879	11.480450630187988	34	42	0.0	
{hockin2002_fig3-user}_{model4_hockin1}	9.741499999996165	11.45780086517334	34	42	0.0	
{hockin2002_fig3-user}_{model5_hockin1}	9.614499999997975	11.321663856506348	34	42	0.0	
{hornberg2005_fig2a-user}_{model0_hornberg1}	2.1995000000002793	3.3653974533081055	9	17	0.0	
{ihekwaba2004_fig5-user}_{model0_ihekwaba1}	10.351499999999042	12.089967727661133	26	64	0.0	
{jiang2007_fig2-user}_{model0_jiang1}	453.37949999999	456.86233043670654	59	306	0.0	
{karin2017_fig1c}_{model22_karin1}	1.2754999999996883	2.3630857467651367	2	3	0.0	
{karin2017_fig1g}_{model24_karin3}	1.6235000000002344	2.8553009033203125	2	3	0.0	
{karin2017_fig2}_{model0_karin5}	11.68399999999508	13.58330249786377	5	2	0.0	
{kholodenko1999_fig4b-user}_{model0_kholodenko1}	4.759000000000427	6.203174591064453	23	52	0.0	
{kholodenko2000_fig2a-user}_{model0_kholodenko2}	11.627999999997485	12.904047966003418	8	22	0.0	
{kim2011_figs5-user}_{model0_kim5}	22.13499999999607	23.674368858337402	4	14	0.0	
{kirschner1998_fig2-user}_{model0_kirschner}	2.286499999999017	3.446340560913086	2	8	0.0	
{kofahl2004_fig3-user}_{model0_kofahl}	63.973000000003196	65.85252285003662	37	47	0.0	
{kolodkin2010_figure2b}_{kolodkin1}	2.0829999999998594	3.231048583984375	3	8	0.0	
{kolodkin2010_figure2b}_{kolodkin2}	3.129499999998913	4.295587539672852	6	8	0.0	
{kolodkin2010_figure2b}_{kolodkin3}	4.296500000000634	5.531668663024902	10	17	0.0	
{kolodkin2010_figure2b}_{kolodkin4}	3.9395000000003364	5.157351493835449	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin5}	3.766999999995484	4.9468278884887695	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin6}	4.0385000000001465	5.229949951171875	8	15	0.0	
{kouril2017_fig1a}_{model1_kouril4}	1.2934999999988381	2.4428367614746094	6	7	0.0	
{kouril2017_fig2b}_{model0_kouril5}	1.245999999999034	2.331376075744629	2	1	0.0	
{kouril2017_fig3b}_{model0_kouril6}	2.451500000000369	3.6171674728393555	7	10	0.0	
{kouril2017_fig4b}_{model0_kouril7}	3.3959999999942028	4.613518714904785	11	14	0.0	
{kouril2017_fig4c}_{model0_kouril8}	4.33750000000078	5.602240562438965	13	21	0.0	
{kowald2006_fig2-user}_{model0_kowald1}	48.39449999998635	49.74162578582764	9	16	0.0	
{laub1998_fig3top-user}_{model0_laub1}	2.422999999999284	3.5992860794067383	7	14	0.0	
{lebeda2008_fig1-user-2}_{model0_lebeda2}	1.433499999999298	2.5266408920288086	4	3	0.0	
{lee2010_fig3-user}_{model0_lee4}	7.495000000000161	8.790373802185059	14	22	0.0	
{lee2010_figs6-user}_{model0_lee2}	4.965000000000204	6.180286407470703	9	12	0.0	
{lee2010_figs9-user}_{model0_lee3}	1.350500000000709	2.4330615997314453	4	4	0.0	
{leloup1999_fig2a}_{leloup1_Fig2A}	7.5554999999969255	9.155511856079102	10	46	0.0	
{leloup2003_fig2a}_{leloup2_Fig2A}	16.890999999997852	18.988609313964844	16	80	0.0	
{levchenko2000_fig2-user}_{model0_levchenko2}	10.849000000007294	12.489676475524902	31	46	0.0	
{levchenko2000_fig2-user}_{model1_levchenko2}	11.23799999999396	12.908458709716797	31	46	0.0	
{levchenko2000_fig2-user}_{model2_levchenko2}	11.072500000002407	12.722134590148926	31	46	0.0	
{levchenko2000_fig2-user}_{model3_levchenko2}	11.007500000000832	12.674450874328613	31	46	0.0	
{levchenko2000_fig2-user}_{model4_levchenko2}	11.252499999996466	12.913346290588379	31	46	0.0	
{levchenko2000_fig2-user}_{model5_levchenko2}	11.35499999999702	13.082265853881836	31	46	0.0	
{levchenko2000_fig2-user}_{model6_levchenko1}	8.014500000000439	9.449362754821777	22	30	0.0	
{levering2012_fig2-user}_{model1_levering1}	166.37949999998273	168.69807243347168	15	66	0.0	
{levering2012_fig5-user}_{model3_levering2}	179.08849999999768	181.63776397705078	25	122	0.0	
{liu2011_fig5a-user}_{model0_liu2}	96.44750000000272	98.63388538360596	42	89	0.0	
{liu2011_fig5a-user}_{model1_liu2}	96.96199999999922	99.15900230407715	42	89	0.0	
{liu2011_fig5a-user}_{model2_liu2}	101.68800000001693	104.02274131774902	42	89	0.0	
{lou2009_fig2-user}_{lou1}	1.3319999999989598	2.4977922439575195	6	12	0.0	
{ma2002_fig2-user}_{model0_ma}	3.882999999999619	5.087733268737793	7	14	0.0	
{marhl2000_fig2-user}_{model0_marhl}	19.47299999999649	20.98870277404785	5	11	0.0	
{martins2003_fig6-user}_{model0_martins1}	2.1565000000001247	3.356456756591797	14	16	0.0	
{marwan2003_fig5b-user}_{model0_BIOMD0000000037}	2.540999999999677	3.859877586364746	12	12	0.0	
{mcauley2012_fig1b-user}_{model0_mcauley1}	19.76049999999603	21.827220916748047	34	44	0.0	
{mcauley2012_fig1b-user}_{model1_mcauley1}	20.032499999991785	22.27461338043213	34	44	0.0	
{mcauley2012_fig1b-user}_{model2_mcauley1}	19.543999999999045	21.69036865234375	34	44	0.0	
{mcauley2012_fig1b-user}_{model3_mcauley1}	19.4774999999989	21.62313461303711	34	44	0.0	
{mcauley2012_fig1b-user}_{model4_mcauley1}	19.480499999996766	21.58832550048828	34	44	0.0	
{mcauley2012_fig1b-user}_{model5_mcauley1}	19.554499999998598	21.660923957824707	34	44	0.0	
{mellor2012_fig3a-user}_{model0_mellor1}	1.8175000000006234	2.960324287414551	10	8	0.0	
{mellor2012_fig3a-user}_{model1_mellor1}	1.8080000000003764	2.9420852661132812	10	8	0.0	
{mellor2012_fig3a-user}_{model2_mellor1}	1.787999999999446	2.9020309448242188	10	8	0.0	
{mellor2012_fig3a-user}_{model3_mellor1}	1.8440000000001229	2.9670000076293945	10	8	0.0	
{mellor2012_fig3a-user}_{model4_mellor1}	1.812000000000321	2.9507875442504883	10	8	0.0	
{miao2008_fig1}_{model0_miao2008}	1.2714999999997119	2.371549606323242	4	9	0.0	
{montanez2008_fig3a-user}_{model0_montanez1}	1.573499999999763	2.7300119400024414	3	18	0.0	
{moriya2011_fig7c-user}_{model0_moriya1}	114.16899999999242	116.80996417999268	49	108	0.0	
{morris2002_fig1b-user}_{model0_Morris2002_CellCycle_CDK2Cyclin}	1.5720000000002194	2.6743412017822266	4	5	0.0	
{naresh2011_fig11to13-user}_{model3_naresh2}	1.447000000000297	2.559185028076172	5	10	0.0	
{naresh2011_fig6to7-user}_{model0_naresh2}	1.4705000000003499	2.584218978881836	5	10	0.0	
{naresh2011_fig6to7-user}_{model1_naresh2}	1.478500000000229	2.5949478149414062	5	10	0.0	
{naresh2011_fig8to10-user}_{model2_naresh2}	1.3999999999993609	2.5142431259155273	5	10	0.0	
{neves2008_figs1-user}_{model0_neves1}	11.843999999996456	13.654828071594238	37	64	0.0	
{nyman2012_fig5-user}_{model0_nyman3}	4.603999999995494	5.825638771057129	9	16	0.0	
{odea2007_fig3-user}_{model0_odea1}	7.344500000000835	9.04393196105957	24	70	0.0	
{orfao2008_fig2-user}_{model0_orfao1}	4.131499999998422	5.369067192077637	12	13	0.0	
{ouattara2008_fig3}_{model0_ouattara1}	1.635999999999508	2.7337074279785156	3	6	0.0	
{panteleev2002_fig1-user}_{model0_panteleev3}	4.619500000000173	5.858063697814941	8	9	0.0	
{panteleev2002_fig1-user}_{model1_panteleev3}	4.268499999997953	5.429863929748535	8	9	0.0	
{panteleev2002_fig1-user}_{model2_panteleev3}	4.312999999997725	5.479335784912109	8	9	0.0	
{panteleev2002_fig1-user}_{model3_panteleev3}	4.342999999997538	5.552768707275391	8	9	0.0	
{panteleev2002_fig1-user}_{model4_panteleev3}	4.287499999997834	5.477666854858398	8	9	0.0	
{panteleev2002_fig1-user}_{model5_panteleev3}	4.359999999994898	5.537748336791992	8	9	0.0	
{panteleev2002_fig1-user}_{model6_panteleev3}	4.250499999997729	5.416393280029297	8	9	0.0	
{panteleev2002_fig1-user}_{model7_panteleev3}	4.376499999997414	5.6067705154418945	8	9	0.0	
{panteleev2002_fig1-user}_{model8_panteleev3}	4.302499999997977	5.467057228088379	8	9	0.0	
{panteleev2002_fig1-user}_{model9_panteleev3}	4.331499999997533	5.511045455932617	8	9	0.0	
{panteleev2002_fig2a-user}_{model0_panteleev2}	7.023000000000013	8.261442184448242	9	15	0.0	
{panteleev2002_fig3a-user}_{model0_panteleev1}	4.349999999997827	5.547881126403809	9	15	0.0	
{perelson1993_fig11-user}_{model2_perelson3}	3.693999999999683	4.89497184753418	5	10	0.0	
{perelson1993_fig2and3-user}_{model0_perelson2}	3.546499999999064	4.763126373291016	5	10	0.0	
{perelson1993_fig2and3-user}_{model1_perelson2}	3.596500000000275	4.782676696777344	5	10	0.0	
{perelson1993_fig2and3-user}_{model2_perelson2}	3.517499999999032	4.696369171142578	5	10	0.0	
{perelson1993_fig2and3-user}_{model3_perelson2}	3.5404999999998665	4.715681076049805	5	10	0.0	
{perelson1996_fig1b_top}_{model0_perelson1}	1.2935000000002068	2.385735511779785	4	5	0.0	
{piedrafita2010_fig2-user}_{model0_piedrafita1}	5.40499999999701	6.651163101196289	11	17	0.0	
{piedrafita2010_fig2-user}_{model1_piedrafita1}	5.455999999992045	6.7032575607299805	11	17	0.0	
{ribeiro2008_fig4-user}_{model1_ribeiro1}	1.250000000000803	2.3217201232910156	2	4	0.0	
{saeidi2012_fig4a-user}_{model0_saeidi1}	5.396500000000351	6.72304630279541	10	17	0.0	
{saeidi2012_fig4a-user}_{model1_saeidi1}	5.4315000000001135	6.775617599487305	10	17	0.0	
{saeidi2012_fig4a-user}_{model2_saeidi1}	5.402999999996496	6.727099418640137	10	17	0.0	
{sarma2012_fig3c-user}_{model0_sarma5}	18.53899999999865	19.856572151184082	11	25	0.0	
{sarma2012_fig3f-user}_{model0_sarma6}	20.940499999998792	22.286295890808105	11	24	0.0	
{sarma2012_fig5a-user}_{model0_sarma1}	29.405999999998897	30.994415283203125	27	45	0.0	
{sarma2012_fig5a-user}_{model1_sarma1}	29.511000000001104	31.138300895690918	27	45	0.0	
{sarma2012_fig5a-user}_{model2_sarma1}	30.07100000000062	31.70454502105713	27	45	0.0	
{sarma2012_fig5atod-user}_{model0_sarma7}	33.561499999998034	34.97588634490967	13	30	0.0	
{sarma2012_fig5atod-user}_{model1_sarma7}	33.632999999999384	35.00521183013916	13	30	0.0	
{sarma2012_fig5atod-user}_{model2_sarma7}	33.06200000000035	34.53218936920166	13	30	0.0	
{sarma2012_fig5atod-user}_{model3_sarma7}	34.426499999999066	35.82334518432617	13	30	0.0	
{sarma2012_fig5b-user}_{model0_sarma2}	21.234499999996046	22.840499877929688	27	45	0.0	
{sarma2012_fig5c-user}_{model0_sarma3}	4.77899999999552	6.0912370681762695	11	26	0.0	
{sarma2012_fig5d-user}_{model0_sarma4}	11.8059999999912	13.134956359863281	11	26	0.0	
{schilling2009_fig1b-user}_{model0_schilling1}	10.85050000000182	12.540459632873535	33	30	0.0	
{teusink1998_fig3candd-user}_{model0_teusink2}	2.0020000000002156	3.1903982162475586	4	21	0.0	
{tiago2010_fig2_fe_adequate-user}_{model0_tiago2}	2.894000000000098	4.217982292175293	17	29	0.0	
{tiago2010_fig2_fe_deficient}_{model0_tiago1}	2.8125000000002345	4.108786582946777	17	29	0.0	
{tiago2010_fig2_fe_loaded-user}_{model0_tiago3}	2.7575000000000216	4.02987003326416	17	29	0.0	
{tiago2010_fig3_fe_adequate-user}_{model0_tiago2}	2.9030000000001266	4.232048988342285	17	29	0.0	
{tiago2010_fig3_fe_deficient}_{model0_tiago1}	2.835999999999968	4.147171974182129	17	29	0.0	
{tiago2010_fig3_fe_loaded-user}_{model0_tiago3}	2.7600000000000158	4.036903381347656	17	29	0.0	
{tripathi2007_fig7_10to7_11-user}_{model1_tripathi1}	1.4674999999993945	2.586841583251953	5	7	0.0	
{tripathi2007_fig7_4-user}_{model0_tripathi1}	1.6134999999994806	2.7300119400024414	5	7	0.0	
{tripathi2007_fig7_5to7_7-user}_{model2_tripathi1}	1.5109999999997559	2.6078224182128906	5	7	0.0	
{tripathi2007_fig7_8to7_9-user}_{model2_tripathi1}	1.5340000000002165	2.626180648803711	5	7	0.0	
{valero2006_fig1aandb}_{model1_valero}	4.006499999999715	5.1490068435668945	6	9	0.0	
{vanheerden2014_fig4-user}_{model2_}	2.421499999999149	3.5871267318725586	7	12	0.0	
{wang2012_fig1and2-user}_{model1_wang1}	19.00249999999923	20.175933837890625	3	9	0.0	
{xie2007_fig3-user}_{model0_xie1}	25.894500000001244	28.15866470336914	25	47	0.0	
{zhao2013_fig3a-user}_{model0_zhao1}	1.7430000000002224	3.15701961517334	5	8	0.0	
{zi2007_fig2d-user}_{model0_zi1}	4.858000000000473	6.155848503112793	16	18	0.0	
