id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	18.904500000002486	21.44598960876465	74	110	0.0	
{Bungay2006}_{Bungay2006}	21.771000000002033	24.378418922424316	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	6.661999999994084	8.685827255249023	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	15.83350000000003	16.323566436767578	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	132.94299999999987	203.97400856018066	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	2.3115000000000174	2.8836727142333984	45	166	0.0	
{Hui2014}_{Hui2014}	5.01500000000005	5.4558515548706055	65	113	0.0	
{Lai2014}_{Lai2014}	4.821999999999839	5.421757698059082	195	27	0.0	
{Leber2015}_{Leber2015}	8.10549999999995	8.366107940673828	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	10.751499999993264	14.071345329284668	86	300	0.0	
{Liu2011}_{Liu2011}	16.488000000010345	18.44775676727295	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	1.9251108169555664	49	141	-4.0	
{ODea2007}_{ODea2007}	0.7560000000000127	1.0418891906738281	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	6.668500000000024	6.917238235473633	90	20	0.0	
{Pathak2013}_{Pathak2013}	1.5334999999999983	2.074718475341797	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	1.5090000000000057	2.0411014556884766	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	2.366499999999996	2.7070045471191406	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	78.33199999999897	79.04064655303955	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	33.89650000000006	34.4693660736084	75	131	0.0	
{Qi2013a}_{Qi2013a}	78.60300000000029	79.31888103485107	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	8.61099999999999	9.452462196350098	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	17.409500000000207	19.124627113342285	240	272	0.0	
{Singh2006}_{Singh2006}	43.35249999999991	43.86770725250244	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	2.4865000000000848	2.776503562927246	50	56	0.0	
{Ueda2001}_{Ueda2001}	1.449999999999994	1.7313957214355469	13	66	0.0	
{Ung2008}_{Ung2008}	35.69699999999999	37.44518756866455	194	313	0.0	
{Yang2007}_{Yang2007}	5.09899999999989	5.357623100280762	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	5.982999999998405	7.224798202514648	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	2.335500000000035	3.414154052734375	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	2.3625000000000753	3.4579038619995117	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	2.637500000000287	3.7277936935424805	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	2.6260000000003023	3.72159481048584	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	2.587000000000092	3.6760568618774414	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	2.531000000000244	3.60715389251709	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	2.5760000000003034	3.6565065383911133	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.3180000000005947	3.393411636352539	4	8	0.0	
{bachmann2011}_{bachmann}	5.622000000000668	7.0770978927612305	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	4.001999999998569	5.5168867111206055	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	4.308000000000027	5.414485931396484	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.3979999999998753	2.4690628051757812	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	1.978499999999963	3.025650978088379	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.5280000000000218	2.5777816772460938	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	5.466499999997119	7.138490676879883	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	7.674499999997067	8.78453254699707	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	5.963499999999584	7.994890213012695	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	15.602499999998415	16.764044761657715	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	11.456499999996652	12.922167778015137	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.8315000000002506	2.946019172668457	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	3.411500000001844	4.703879356384277	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	16.406500000000563	18.881916999816895	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	24.02049999999889	26.13043785095215	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	23.799500000002823	26.30615234375	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	0.0	34.569621086120605	34	44	-1.0	
{chance1943_fig12-user}_{model3_chance3}	1.6220000000001953	2.680063247680664	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	12.541499999986371	18.275022506713867	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	12.540499999985968	18.29671859741211	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	2.2575000000006185	3.5616159439086914	4	18	0.0	
