observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
3PG			5.523	8.533	NaN			
3PG			5.685	9.6	NaN			
3PG			5.788	10.666	NaN			
3PG			5.071	11.733	NaN			
3PG			5.508	12.8	NaN			
3PG			5.405	13.866	NaN			
3PG			5.65	14.933	NaN			
3PG			5.141	16.0	NaN			
3PG			5.357	17.066	NaN			
3PG			5.589	18.133	NaN			
3PG			5.685	19.2	NaN			
3PG			5.947	20.266	NaN			
3PG			5.485	21.333	NaN			
3PG			5.55	22.4	NaN			
3PG			5.618	23.466	NaN			
3PG			5.737	24.533	NaN			
3PG			6.241	25.599	NaN			
3PG			5.586	26.666	NaN			
3PG			5.807	27.733	NaN			
3PG			5.818	28.799	NaN			
3PG			5.36	29.866	NaN			
3PG			5.306	30.933	NaN			
3PG			5.992	31.999	NaN			
3PG			5.869	33.066	NaN			
3PG			5.831	34.133	NaN			
3PG			5.461	35.199	NaN			
3PG			5.654	36.266	NaN			
3PG			6.166	37.333	NaN			
3PG			5.897	38.399	NaN			
3PG			6.161	39.466	NaN			
3PG			5.89	40.532	NaN			
3PG			5.859	41.599	NaN			
3PG			5.486	42.666	NaN			
3PG			5.598	43.732	NaN			
3PG			5.525	44.799	NaN			
3PG			5.486	45.866	NaN			
3PG			6.062	46.932	NaN			
3PG			6.177	47.999	NaN			
3PG			5.272	49.066	NaN			
pi			1.101	8.533	NaN			
pi			1.234	9.6	NaN			
pi			1.451	10.666	NaN			
pi			1.822	11.733	NaN			
pi			1.035	12.8	NaN			
pi			1.848	13.866	NaN			
pi			1.418	14.933	NaN			
pi			1.991	16.0	NaN			
pi			2.229	17.066	NaN			
pi			2.197	18.133	NaN			
pi			1.902	19.2	NaN			
pi			2.791	20.266	NaN			
pi			2.428	21.333	NaN			
pi			2.465	22.4	NaN			
pi			1.929	23.466	NaN			
pi			2.715	24.533	NaN			
pi			2.842	25.599	NaN			
pi			3.353	26.666	NaN			
pi			3.936	27.733	NaN			
pi			3.832	28.799	NaN			
pi			3.839	29.866	NaN			
pi			3.74	30.933	NaN			
pi			4.489	31.999	NaN			
pi			3.655	33.066	NaN			
pi			4.012	34.133	NaN			
pi			4.044	35.199	NaN			
pi			4.48	36.266	NaN			
pi			4.566	37.333	NaN			
pi			5.059	38.399	NaN			
pi			4.164	39.466	NaN			
pi			4.238	40.532	NaN			
pi			4.713	41.599	NaN			
pi			4.629	42.666	NaN			
pi			4.937	43.732	NaN			
pi			5.223	44.799	NaN			
pi			5.181	45.866	NaN			
pi			4.711	46.932	NaN			
pi			5.046	47.999	NaN			
pi			5.147	49.066	NaN			
atp			10.266	8.533	NaN			
atp			9.89	9.6	NaN			
atp			10.08	10.666	NaN			
atp			9.746	11.733	NaN			
atp			9.951	12.8	NaN			
atp			10.104	13.866	NaN			
atp			9.983	14.933	NaN			
atp			10.168	16.0	NaN			
atp			10.169	17.066	NaN			
atp			9.981	18.133	NaN			
atp			10.071	19.2	NaN			
atp			9.992	20.266	NaN			
atp			9.911	21.333	NaN			
atp			10.181	22.4	NaN			
atp			10.158	23.466	NaN			
atp			10.289	24.533	NaN			
atp			10.231	25.599	NaN			
atp			10.014	26.666	NaN			
atp			10.267	27.733	NaN			
atp			10.209	28.799	NaN			
atp			10.172	29.866	NaN			
atp			10.284	30.933	NaN			
atp			10.136	31.999	NaN			
atp			10.589	33.066	NaN			
atp			10.175	34.133	NaN			
atp			10.142	35.199	NaN			
atp			10.1	36.266	NaN			
atp			9.751	37.333	NaN			
atp			10.173	38.399	NaN			
atp			10.333	39.466	NaN			
atp			10.037	40.532	NaN			
atp			9.873	41.599	NaN			
atp			10.104	42.666	NaN			
atp			10.236	43.732	NaN			
atp			9.74	44.799	NaN			
atp			9.823	45.866	NaN			
atp			9.76	46.932	NaN			
atp			10.092	47.999	NaN			
atp			9.929	49.066	NaN			
pep			3.867	8.533	NaN			
pep			3.971	9.6	NaN			
pep			4.064	10.666	NaN			
pep			3.227	11.733	NaN			
pep			3.917	12.8	NaN			
pep			3.403	13.866	NaN			
pep			4.226	14.933	NaN			
pep			3.476	16.0	NaN			
pep			2.865	17.066	NaN			
pep			3.135	18.133	NaN			
pep			2.657	19.2	NaN			
pep			3.493	20.266	NaN			
pep			3.232	21.333	NaN			
pep			3.0	22.4	NaN			
pep			2.537	23.466	NaN			
pep			1.834	24.533	NaN			
pep			2.844	25.599	NaN			
pep			2.491	26.666	NaN			
pep			2.55	27.733	NaN			
pep			2.247	28.799	NaN			
pep			2.013	29.866	NaN			
pep			1.689	30.933	NaN			
pep			1.997	31.999	NaN			
pep			1.311	33.066	NaN			
pep			1.095	34.133	NaN			
pep			1.196	35.199	NaN			
pep			1.197	36.266	NaN			
pep			1.084	37.333	NaN			
pep			0.615	38.399	NaN			
pep			1.588	39.466	NaN			
pep			0.964	40.532	NaN			
pep			0.949	41.599	NaN			
pep			1.208	42.666	NaN			
pep			0.86	43.732	NaN			
pep			0.53	44.799	NaN			
pep			0.824	45.866	NaN			
pep			1.531	46.932	NaN			
pep			0.714	47.999	NaN			
pep			0.199	49.066	NaN			
